713.0,2,1,0,0
713.2,2,1,1,0
713.5,2,1,2,0
713.9,2,1,3,0
714.3,2,1,4,0
714.2,2,1,5,0
714.2,2,1,6,0
713.9,2,1,7,0
713.6,2,1,8,0
713.3,2,1,9,0
713.0,2,1,10,0
713.0,2,1,11,0
713.0,2,1,12,0
713.2,2,1,13,0
713.6,2,1,14,0
713.9,2,1,15,0
714.3,2,1,16,0
714.7,2,1,17,0
714.5,2,1,18,0
713.9,2,1,19,0
713.3,2,1,20,0
713.0,2,1,21,0
712.8,2,1,22,0
713.0,2,1,23,0
713.2,2,2,0,0
713.5,2,2,1,0
713.8,2,2,2,0
714.1,2,2,3,0
714.2,2,2,4,0
714.3,2,2,5,0
714.2,2,2,6,0
714.1,2,2,7,0
713.7,2,2,8,0
713.3,2,2,9,0
713.0,2,2,10,0
713.1,2,2,11,0
713.4,2,2,12,0
713.5,2,2,13,0
713.7,2,2,14,0
714.2,2,2,15,0
714.5,2,2,16,0
714.6,2,2,17,0
714.4,2,2,18,0
713.7,2,2,19,0
713.1,2,2,20,0
712.6,2,2,21,0
712.7,2,2,22,0
712.9,2,2,23,0
713.3,2,3,0,0
713.4,2,3,1,0
714.1,2,3,2,0
714.6,2,3,3,0
715.2,2,3,4,0
715.2,2,3,5,0
715.2,2,3,6,0
714.8,2,3,7,0
714.4,2,3,8,0
714.4,2,3,9,0
714.2,2,3,10,0
713.7,2,3,11,0
714.0,2,3,12,0
714.1,2,3,13,0
714.3,2,3,14,0
714.7,2,3,15,0
715.0,2,3,16,0
715.4,2,3,17,0
715.1,2,3,18,0
714.6,2,3,19,0
714.3,2,3,20,0
713.8,2,3,21,0
713.6,2,3,22,0
713.6,2,3,23,0
713.8,2,4,0,0
714.0,2,4,1,0
714.2,2,4,2,0
714.6,2,4,3,0
714.7,2,4,4,0
714.7,2,4,5,0
714.5,2,4,6,0
714.1,2,4,7,0
713.8,2,4,8,0
713.2,2,4,9,0
713.1,2,4,10,0
713.4,2,4,11,0
713.5,2,4,12,0
713.6,2,4,13,0
714.1,2,4,14,0
