HOUR,   LON,    LAT,    WSFRCST
0,    -98.9266,    19.2948,    0.00
1,    -98.9266,    19.2948,    0.00
2,    -98.9266,    19.2948,    0.00
3,    -98.9266,    19.2948,    0.00
4,    -98.9266,    19.2948,    0.00
5,    -98.9266,    19.2948,    0.00
6,    -98.9266,    19.2948,    0.00
7,    -98.9266,    19.2948,    0.00
8,    -98.9266,    19.2948,    0.00
9,    -98.9266,    19.2948,    0.00
10,    -98.9266,    19.2948,    0.00
11,    -98.9266,    19.2948,    0.00
12,    -98.9266,    19.2948,    0.00
13,    -98.9266,    19.2948,    0.00
14,    -98.9266,    19.2948,    0.00
15,    -98.9266,    19.2948,    0.00
16,    -98.9266,    19.2948,    0.00
17,    -98.9266,    19.2948,    0.00
18,    -98.9266,    19.2948,    0.00
19,    -98.9266,    19.2948,    0.06
20,    -98.9266,    19.2948,    0.76
21,    -98.9266,    19.2948,    1.46
22,    -98.9266,    19.2948,    1.80
23,    -98.9266,    19.2948,    2.03
24,    -98.9266,    19.2948,    3.66
25,    -98.9266,    19.2948,    4.80
26,    -98.9266,    19.2948,    6.12
27,    -98.9266,    19.2948,    6.44
28,    -98.9266,    19.2948,    6.44
29,    -98.9266,    19.2948,    6.44
30,    -98.9266,    19.2948,    6.44
31,    -98.9266,    19.2948,    6.44
32,    -98.9266,    19.2948,    6.44
33,    -98.9266,    19.2948,    6.44
34,    -98.9266,    19.2948,    6.44
35,    -98.9266,    19.2948,    6.44
36,    -98.9266,    19.2948,    6.44
37,    -98.9266,    19.2948,    6.44
38,    -98.9266,    19.2948,    6.44
39,    -98.9266,    19.2948,    6.44
40,    -98.9266,    19.2948,    6.44
41,    -98.9266,    19.2948,    6.44
42,    -98.9266,    19.2948,    6.44
43,    -98.9266,    19.2948,    6.44
44,    -98.9266,    19.2948,    6.44
45,    -98.9266,    19.2948,    6.44
46,    -98.9266,    19.2948,    6.44
47,    -98.9266,    19.2948,    6.44
48,    -98.9266,    19.2948,    6.44
