HOUR,   LON,    LAT,    WSFRCST
0,    -98.9266,    19.2948,    19.34
1,    -98.9266,    19.2948,    18.77
2,    -98.9266,    19.2948,    16.93
3,    -98.9266,    19.2948,    15.78
4,    -98.9266,    19.2948,    15.03
5,    -98.9266,    19.2948,    14.51
6,    -98.9266,    19.2948,    14.77
7,    -98.9266,    19.2948,    14.34
8,    -98.9266,    19.2948,    13.99
9,    -98.9266,    19.2948,    13.64
10,    -98.9266,    19.2948,    13.14
11,    -98.9266,    19.2948,    12.54
12,    -98.9266,    19.2948,    12.14
13,    -98.9266,    19.2948,    12.01
14,    -98.9266,    19.2948,    15.82
15,    -98.9266,    19.2948,    18.55
16,    -98.9266,    19.2948,    20.91
17,    -98.9266,    19.2948,    22.93
18,    -98.9266,    19.2948,    24.27
19,    -98.9266,    19.2948,    23.87
20,    -98.9266,    19.2948,    22.58
21,    -98.9266,    19.2948,    23.98
22,    -98.9266,    19.2948,    23.77
23,    -98.9266,    19.2948,    20.86
24,    -98.9266,    19.2948,    18.18
25,    -98.9266,    19.2948,    17.16
26,    -98.9266,    19.2948,    16.57
27,    -98.9266,    19.2948,    16.24
28,    -98.9266,    19.2948,    16.20
29,    -98.9266,    19.2948,    15.52
30,    -98.9266,    19.2948,    14.23
31,    -98.9266,    19.2948,    14.04
32,    -98.9266,    19.2948,    13.54
33,    -98.9266,    19.2948,    13.21
34,    -98.9266,    19.2948,    12.66
35,    -98.9266,    19.2948,    12.36
36,    -98.9266,    19.2948,    12.11
37,    -98.9266,    19.2948,    11.91
38,    -98.9266,    19.2948,    13.91
39,    -98.9266,    19.2948,    17.00
40,    -98.9266,    19.2948,    20.35
41,    -98.9266,    19.2948,    22.95
42,    -98.9266,    19.2948,    24.41
43,    -98.9266,    19.2948,    25.22
44,    -98.9266,    19.2948,    25.55
45,    -98.9266,    19.2948,    25.25
46,    -98.9266,    19.2948,    24.07
47,    -98.9266,    19.2948,    22.17
48,    -98.9266,    19.2948,    20.46
