HOUR,   LON,    LAT,    WSFRCST
0,    -98.9266,    19.1127,    12.41
1,    -98.9266,    19.1127,    8.77
2,    -98.9266,    19.1127,    8.29
3,    -98.9266,    19.1127,    8.37
4,    -98.9266,    19.1127,    8.31
5,    -98.9266,    19.1127,    8.27
6,    -98.9266,    19.1127,    7.96
7,    -98.9266,    19.1127,    8.95
8,    -98.9266,    19.1127,    7.35
9,    -98.9266,    19.1127,    7.45
10,    -98.9266,    19.1127,    7.97
11,    -98.9266,    19.1127,    8.49
12,    -98.9266,    19.1127,    6.73
13,    -98.9266,    19.1127,    6.39
14,    -98.9266,    19.1127,    7.66
15,    -98.9266,    19.1127,    10.63
16,    -98.9266,    19.1127,    11.72
17,    -98.9266,    19.1127,    12.46
18,    -98.9266,    19.1127,    12.94
19,    -98.9266,    19.1127,    13.27
20,    -98.9266,    19.1127,    13.46
21,    -98.9266,    19.1127,    13.48
22,    -98.9266,    19.1127,    13.22
23,    -98.9266,    19.1127,    12.55
24,    -98.9266,    19.1127,    11.20
25,    -98.9266,    19.1127,    10.42
26,    -98.9266,    19.1127,    9.91
27,    -98.9266,    19.1127,    9.63
28,    -98.9266,    19.1127,    9.29
29,    -98.9266,    19.1127,    9.17
30,    -98.9266,    19.1127,    9.33
31,    -98.9266,    19.1127,    9.19
32,    -98.9266,    19.1127,    9.00
33,    -98.9266,    19.1127,    8.81
34,    -98.9266,    19.1127,    8.60
35,    -98.9266,    19.1127,    8.38
36,    -98.9266,    19.1127,    8.15
37,    -98.9266,    19.1127,    7.86
38,    -98.9266,    19.1127,    8.44
39,    -98.9266,    19.1127,    10.59
40,    -98.9266,    19.1127,    11.88
41,    -98.9266,    19.1127,    12.80
42,    -98.9266,    19.1127,    13.35
43,    -98.9266,    19.1127,    13.55
44,    -98.9266,    19.1127,    13.61
45,    -98.9266,    19.1127,    13.19
46,    -98.9266,    19.1127,    12.38
47,    -98.9266,    19.1127,    11.47
48,    -98.9266,    19.1127,    10.42
