ACO,19.635501,-98.912003
AJU,19.154286,-99.162611
altzom,19.1186111111,-98.655
BJU,19.370464,-99.159596
cdalta,18.3505555556,-100.6583333333
CHO,19.266948,-98.886088
CUA,19.365313,-99.291705
CUT,19.722186,-99.198602
ecogua,19.2713888889,-99.2038888889
elchic,20.1855555556,-98.7161111111
encb02,19.4402777778,-99.0766666667
FAC,19.482473,-99.243524
HGM,19.411617,-99.152207
huaman,19.3861111111,-97.9663888889
huauch,20.1780555556,-98.0663888889
iguala,18.3602777778,-99.5241666667
imteag,18.8822222222,-99.1569444444
izucar,18.6166666667,-98.4519444444
lagzem,19.0533333333,-99.3127777778
lama01,19.2975,-98.0441666667
lama02,19.1408333333,-98.0322222222
MER,19.42461,-99.119594
MON,19.460415,-98.902853
mona01,19.6708333333,-100.2775
mona02,19.5388888889,-100.29
NEZ,19.393734,-99.028212
PED,19.325146,-99.204136
pqizta,19.0955555556,-98.6430555556
SAG,19.532968,-99.030324
SFE,19.357357,-99.262865
shuaut,18.5413888889,-98.9361111111
TAH,19.246459,-99.010564
tecama,18.8663888889,-97.7216666667
tepozt,18.9508333333,-99.0788888889
tezont,19.3852777778,-99.0997222222
TLA,19.529077,-99.204597
tresma,19.0505555556,-99.2486111111
UAX,19.304441,-99.103629
UIZ,19.360794,-99.07388
vabrav,19.3755555556,-100.0847222222
VIF,19.658223,-99.09659
XAL,19.525995,-99.0824
